Article-123 	 2013-05-03 	 14917.9387991
Article-124 	 2013-05-04 	 14923.4589167
Article-125 	 2013-05-05 	 14928.9790344
Article-126 	 2013-05-06 	 14934.499152
Article-127 	 2013-05-07 	 14940.0192696
Article-128 	 2013-05-08 	 14945.5393872
Article-129 	 2013-05-09 	 14951.0595049
Article-130 	 2013-05-10 	 14956.5796225
Article-131 	 2013-05-11 	 14962.0997401
Article-132 	 2013-05-12 	 14967.6198577
Article-133 	 2013-05-13 	 14973.1399754
Article-134 	 2013-05-14 	 14978.660093
Article-135 	 2013-05-15 	 14984.1802106
Article-136 	 2013-05-16 	 14989.7003282
Article-137 	 2013-05-17 	 14995.2204459
Article-138 	 2013-05-18 	 15000.7405635
Article-139 	 2013-05-19 	 15006.2606811
Article-140 	 2013-05-20 	 15011.7807988
Article-141 	 2013-05-21 	 15017.3009164
Article-142 	 2013-05-22 	 15022.821034
Article-143 	 2013-05-23 	 15028.3411516
Article-144 	 2013-05-24 	 15033.8612693
Article-145 	 2013-05-25 	 15039.3813869
Article-146 	 2013-05-26 	 15044.9015045
Article-147 	 2013-05-27 	 15050.4216221
Article-148 	 2013-05-28 	 15055.9417398
Article-149 	 2013-05-29 	 15061.4618574
Article-150 	 2013-05-30 	 15066.981975
Article-151 	 2013-05-31 	 15072.5020926
Article-152 	 2013-06-01 	 15078.0222103
Article-153 	 2013-06-02 	 15083.5423279
Article-154 	 2013-06-03 	 15089.0624455
Article-155 	 2013-06-04 	 15094.5825631
Article-156 	 2013-06-05 	 15100.1026808
Article-157 	 2013-06-06 	 15105.6227984
Article-158 	 2013-06-07 	 15111.142916
Article-159 	 2013-06-08 	 15116.6630336
Article-160 	 2013-06-09 	 15122.1831513
Article-161 	 2013-06-10 	 15127.7032689
Article-162 	 2013-06-11 	 15133.2233865
Article-163 	 2013-06-12 	 15138.7435041
Article-164 	 2013-06-13 	 15144.2636218
Article-165 	 2013-06-14 	 15149.7837394
Article-166 	 2013-06-15 	 15155.303857
Article-167 	 2013-06-16 	 15160.8239746
Article-168 	 2013-06-17 	 15166.3440923
Article-169 	 2013-06-18 	 15171.8642099
Article-170 	 2013-06-19 	 15177.3843275
Article-171 	 2013-06-20 	 15182.9044451
Article-172 	 2013-06-21 	 15188.4245628
Article-173 	 2013-06-22 	 15193.9446804
Article-174 	 2013-06-23 	 15199.464798
Article-175 	 2013-06-24 	 15204.9849157
Article-176 	 2013-06-25 	 15210.5050333
Article-177 	 2013-06-26 	 15216.0251509
Article-178 	 2013-06-27 	 15221.5452685
Article-179 	 2013-06-28 	 15227.0653862
Article-180 	 2013-06-29 	 15232.5855038
Article-181 	 2013-06-30 	 15238.1056214
Article-182 	 2013-07-01 	 15243.625739
Article-183 	 2013-07-02 	 15249.1458567
Article-184 	 2013-07-03 	 15254.6659743
Article-185 	 2013-07-04 	 15260.1860919
Article-186 	 2013-07-05 	 15265.7062095
Article-187 	 2013-07-06 	 15271.2263272
Article-188 	 2013-07-07 	 15276.7464448
Article-189 	 2013-07-08 	 15282.2665624
Article-190 	 2013-07-09 	 15287.78668
Article-191 	 2013-07-10 	 15293.3067977
Article-192 	 2013-07-11 	 15298.8269153
Article-193 	 2013-07-12 	 15304.3470329
Article-194 	 2013-07-13 	 15309.8671505
Article-195 	 2013-07-14 	 15315.3872682
Article-196 	 2013-07-15 	 15320.9073858
Article-197 	 2013-07-16 	 15326.4275034
Article-198 	 2013-07-17 	 15331.947621
Article-199 	 2013-07-18 	 15337.4677387
Article-200 	 2013-07-19 	 15342.9878563
Article-201 	 2013-07-20 	 15348.5079739
Article-202 	 2013-07-21 	 15354.0280915
Article-203 	 2013-07-22 	 15359.5482092
Article-204 	 2013-07-23 	 15365.0683268
Article-205 	 2013-07-24 	 15370.5884444
Article-206 	 2013-07-25 	 15376.108562
Article-207 	 2013-07-26 	 15381.6286797
Article-208 	 2013-07-27 	 15387.1487973
Article-209 	 2013-07-28 	 15392.6689149
Article-210 	 2013-07-29 	 15398.1890326
Article-211 	 2013-07-30 	 15403.7091502
Article-212 	 2013-07-31 	 15409.2292678
Article-213 	 2013-08-01 	 15414.7493854
Article-214 	 2013-08-02 	 15420.2695031
Article-215 	 2013-08-03 	 15425.7896207
Article-216 	 2013-08-04 	 15431.3097383
Article-217 	 2013-08-05 	 15436.8298559
Article-218 	 2013-08-06 	 15442.3499736
Article-219 	 2013-08-07 	 15447.8700912
Article-220 	 2013-08-08 	 15453.3902088
Article-221 	 2013-08-09 	 15458.9103264
Article-222 	 2013-08-10 	 15464.4304441
Article-223 	 2013-08-11 	 15469.9505617
Article-224 	 2013-08-12 	 15475.4706793
Article-225 	 2013-08-13 	 15480.9907969
Article-226 	 2013-08-14 	 15486.5109146
Article-227 	 2013-08-15 	 15492.0310322
Article-228 	 2013-08-16 	 15497.5511498
Article-229 	 2013-08-17 	 15503.0712674
Article-230 	 2013-08-18 	 15508.5913851
Article-231 	 2013-08-19 	 15514.1115027
Article-232 	 2013-08-20 	 15519.6316203
Article-233 	 2013-08-21 	 15525.1517379
Article-234 	 2013-08-22 	 15530.6718556
Article-235 	 2013-08-23 	 15536.1919732
Article-236 	 2013-08-24 	 15541.7120908
Article-237 	 2013-08-25 	 15547.2322084
Article-238 	 2013-08-26 	 15552.7523261
Article-239 	 2013-08-27 	 15558.2724437
Article-240 	 2013-08-28 	 15563.7925613
Article-241 	 2013-08-29 	 15569.3126789
Article-242 	 2013-08-30 	 15574.8327966
Article-243 	 2013-08-31 	 15580.3529142
Article-244 	 2013-09-01 	 15585.8730318
Article-245 	 2013-09-02 	 15591.3931495
Article-246 	 2013-09-03 	 15596.9132671
Article-247 	 2013-09-04 	 15602.4333847
Article-248 	 2013-09-05 	 15607.9535023
Article-249 	 2013-09-06 	 15613.47362
Article-250 	 2013-09-07 	 15618.9937376
Article-251 	 2013-09-08 	 15624.5138552
Article-252 	 2013-09-09 	 15630.0339728
Article-253 	 2013-09-10 	 15635.5540905
Article-254 	 2013-09-11 	 15641.0742081
Article-255 	 2013-09-12 	 15646.5943257
Article-256 	 2013-09-13 	 15652.1144433
Article-257 	 2013-09-14 	 15657.634561
Article-258 	 2013-09-15 	 15663.1546786
Article-259 	 2013-09-16 	 15668.6747962
Article-260 	 2013-09-17 	 15674.1949138
Article-261 	 2013-09-18 	 15679.7150315
Article-262 	 2013-09-19 	 15685.2351491
Article-263 	 2013-09-20 	 15690.7552667
Article-264 	 2013-09-21 	 15696.2753843
Article-265 	 2013-09-22 	 15701.795502
Article-266 	 2013-09-23 	 15707.3156196
Article-267 	 2013-09-24 	 15712.8357372
Article-268 	 2013-09-25 	 15718.3558548
Article-269 	 2013-09-26 	 15723.8759725
Article-270 	 2013-09-27 	 15729.3960901
Article-271 	 2013-09-28 	 15734.9162077
Article-272 	 2013-09-29 	 15740.4363253
Article-273 	 2013-09-30 	 15745.956443
Article-274 	 2013-10-01 	 15751.4765606
Article-275 	 2013-10-02 	 15756.9966782
Article-276 	 2013-10-03 	 15762.5167958
Article-277 	 2013-10-04 	 15768.0369135
Article-278 	 2013-10-05 	 15773.5570311
Article-279 	 2013-10-06 	 15779.0771487
Article-280 	 2013-10-07 	 15784.5972664
Article-281 	 2013-10-08 	 15790.117384
Article-282 	 2013-10-09 	 15795.6375016
Article-283 	 2013-10-10 	 15801.1576192
Article-284 	 2013-10-11 	 15806.6777369
Article-285 	 2013-10-12 	 15812.1978545
Article-286 	 2013-10-13 	 15817.7179721
Article-287 	 2013-10-14 	 15823.2380897
Article-288 	 2013-10-15 	 15828.7582074
Article-289 	 2013-10-16 	 15834.278325
Article-290 	 2013-10-17 	 15839.7984426
Article-291 	 2013-10-18 	 15845.3185602
Article-292 	 2013-10-19 	 15850.8386779
Article-293 	 2013-10-20 	 15856.3587955
Article-294 	 2013-10-21 	 15861.8789131
Article-295 	 2013-10-22 	 15867.3990307
Article-296 	 2013-10-23 	 15872.9191484
Article-297 	 2013-10-24 	 15878.439266
Article-298 	 2013-10-25 	 15883.9593836
Article-299 	 2013-10-26 	 15889.4795012
Article-300 	 2013-10-27 	 15894.9996189
Article-301 	 2013-10-28 	 15900.5197365
Article-302 	 2013-10-29 	 15906.0398541
Article-303 	 2013-10-30 	 15911.5599717
Article-304 	 2013-10-31 	 15917.0800894
Article-305 	 2013-11-01 	 15922.600207
Article-306 	 2013-11-02 	 15928.1203246
Article-307 	 2013-11-03 	 15933.6404422
Article-308 	 2013-11-04 	 15939.1605599
Article-309 	 2013-11-05 	 15944.6806775
Article-310 	 2013-11-06 	 15950.2007951
Article-311 	 2013-11-07 	 15955.7209127
Article-312 	 2013-11-08 	 15961.2410304
Article-313 	 2013-11-09 	 15966.761148
Article-314 	 2013-11-10 	 15972.2812656
Article-315 	 2013-11-11 	 15977.8013833
Article-316 	 2013-11-12 	 15983.3215009
Article-317 	 2013-11-13 	 15988.8416185
Article-318 	 2013-11-14 	 15994.3617361
Article-319 	 2013-11-15 	 15999.8818538
Article-320 	 2013-11-16 	 16005.4019714
Article-321 	 2013-11-17 	 16010.922089
Article-322 	 2013-11-18 	 16016.4422066
Article-323 	 2013-11-19 	 16021.9623243
Article-324 	 2013-11-20 	 16027.4824419
Article-325 	 2013-11-21 	 16033.0025595
Article-326 	 2013-11-22 	 16038.5226771
Article-327 	 2013-11-23 	 16044.0427948
Article-328 	 2013-11-24 	 16049.5629124
Article-329 	 2013-11-25 	 16055.08303
Article-330 	 2013-11-26 	 16060.6031476
Article-331 	 2013-11-27 	 16066.1232653
Article-332 	 2013-11-28 	 16071.6433829
Article-333 	 2013-11-29 	 16077.1635005
Article-334 	 2013-11-30 	 16082.6836181
Article-335 	 2013-12-01 	 16088.2037358
Article-336 	 2013-12-02 	 16093.7238534
Article-337 	 2013-12-03 	 16099.243971
Article-338 	 2013-12-04 	 16104.7640886
Article-339 	 2013-12-05 	 16110.2842063
Article-340 	 2013-12-06 	 16115.8043239
Article-341 	 2013-12-07 	 16121.3244415
Article-342 	 2013-12-08 	 16126.8445591
Article-343 	 2013-12-09 	 16132.3646768
Article-344 	 2013-12-10 	 16137.8847944
Article-345 	 2013-12-11 	 16143.404912
Article-346 	 2013-12-12 	 16148.9250296
Article-347 	 2013-12-13 	 16154.4451473
Article-348 	 2013-12-14 	 16159.9652649
Article-349 	 2013-12-15 	 16165.4853825
Article-350 	 2013-12-16 	 16171.0055002
Article-351 	 2013-12-17 	 16176.5256178
Article-352 	 2013-12-18 	 16182.0457354
Article-353 	 2013-12-19 	 16187.565853
Article-354 	 2013-12-20 	 16193.0859707
Article-355 	 2013-12-21 	 16198.6060883
Article-356 	 2013-12-22 	 16204.1262059
Article-357 	 2013-12-23 	 16209.6463235
Article-358 	 2013-12-24 	 16215.1664412
Article-359 	 2013-12-25 	 16220.6865588
Article-360 	 2013-12-26 	 16226.2066764
Article-361 	 2013-12-27 	 16231.726794
Article-362 	 2013-12-28 	 16237.2469117
Article-363 	 2013-12-29 	 16242.7670293
Article-364 	 2013-12-30 	 16248.2871469
Article-365 	 2013-12-31 	 16253.8072645
Article-1 	 2013-01-01 	 14244.4844488
Article-2 	 2013-01-02 	 14250.0045664
Article-3 	 2013-01-03 	 14255.524684
Article-4 	 2013-01-04 	 14261.0448017
Article-5 	 2013-01-05 	 14266.5649193
Article-6 	 2013-01-06 	 14272.0850369
Article-7 	 2013-01-07 	 14277.6051545
Article-8 	 2013-01-08 	 14283.1252722
Article-9 	 2013-01-09 	 14288.6453898
Article-10 	 2013-01-10 	 14294.1655074
Article-11 	 2013-01-11 	 14299.685625
Article-12 	 2013-01-12 	 14305.2057427
Article-13 	 2013-01-13 	 14310.7258603
Article-14 	 2013-01-14 	 14316.2459779
Article-15 	 2013-01-15 	 14321.7660955
Article-16 	 2013-01-16 	 14327.2862132
Article-17 	 2013-01-17 	 14332.8063308
Article-18 	 2013-01-18 	 14338.3264484
Article-19 	 2013-01-19 	 14343.846566
Article-20 	 2013-01-20 	 14349.3666837
Article-21 	 2013-01-21 	 14354.8868013
Article-22 	 2013-01-22 	 14360.4069189
Article-23 	 2013-01-23 	 14365.9270365
Article-24 	 2013-01-24 	 14371.4471542
Article-25 	 2013-01-25 	 14376.9672718
Article-26 	 2013-01-26 	 14382.4873894
Article-27 	 2013-01-27 	 14388.007507
Article-28 	 2013-01-28 	 14393.5276247
Article-29 	 2013-01-29 	 14399.0477423
Article-30 	 2013-01-30 	 14404.5678599
Article-31 	 2013-01-31 	 14410.0879775
Article-32 	 2013-02-01 	 14415.6080952
Article-33 	 2013-02-02 	 14421.1282128
Article-34 	 2013-02-03 	 14426.6483304
Article-35 	 2013-02-04 	 14432.1684481
Article-36 	 2013-02-05 	 14437.6885657
Article-37 	 2013-02-06 	 14443.2086833
Article-38 	 2013-02-07 	 14448.7288009
Article-39 	 2013-02-08 	 14454.2489186
Article-40 	 2013-02-09 	 14459.7690362
Article-41 	 2013-02-10 	 14465.2891538
Article-42 	 2013-02-11 	 14470.8092714
Article-43 	 2013-02-12 	 14476.3293891
Article-44 	 2013-02-13 	 14481.8495067
Article-45 	 2013-02-14 	 14487.3696243
Article-46 	 2013-02-15 	 14492.8897419
Article-47 	 2013-02-16 	 14498.4098596
Article-48 	 2013-02-17 	 14503.9299772
Article-49 	 2013-02-18 	 14509.4500948
Article-50 	 2013-02-19 	 14514.9702124
Article-51 	 2013-02-20 	 14520.4903301
Article-52 	 2013-02-21 	 14526.0104477
Article-53 	 2013-02-22 	 14531.5305653
Article-54 	 2013-02-23 	 14537.0506829
Article-55 	 2013-02-24 	 14542.5708006
Article-56 	 2013-02-25 	 14548.0909182
Article-57 	 2013-02-26 	 14553.6110358
Article-58 	 2013-02-27 	 14559.1311534
Article-59 	 2013-02-28 	 14564.6512711
Article-60 	 2013-03-01 	 14570.1713887
Article-61 	 2013-03-02 	 14575.6915063
Article-62 	 2013-03-03 	 14581.2116239
Article-63 	 2013-03-04 	 14586.7317416
Article-64 	 2013-03-05 	 14592.2518592
Article-65 	 2013-03-06 	 14597.7719768
Article-66 	 2013-03-07 	 14603.2920944
Article-67 	 2013-03-08 	 14608.8122121
Article-68 	 2013-03-09 	 14614.3323297
Article-69 	 2013-03-10 	 14619.8524473
Article-70 	 2013-03-11 	 14625.372565
Article-71 	 2013-03-12 	 14630.8926826
Article-72 	 2013-03-13 	 14636.4128002
Article-73 	 2013-03-14 	 14641.9329178
Article-74 	 2013-03-15 	 14647.4530355
Article-75 	 2013-03-16 	 14652.9731531
Article-76 	 2013-03-17 	 14658.4932707
Article-77 	 2013-03-18 	 14664.0133883
Article-78 	 2013-03-19 	 14669.533506
Article-79 	 2013-03-20 	 14675.0536236
Article-80 	 2013-03-21 	 14680.5737412
Article-81 	 2013-03-22 	 14686.0938588
Article-82 	 2013-03-23 	 14691.6139765
Article-83 	 2013-03-24 	 14697.1340941
Article-84 	 2013-03-25 	 14702.6542117
Article-85 	 2013-03-26 	 14708.1743293
Article-86 	 2013-03-27 	 14713.694447
Article-87 	 2013-03-28 	 14719.2145646
Article-88 	 2013-03-29 	 14724.7346822
Article-89 	 2013-03-30 	 14730.2547998
Article-90 	 2013-03-31 	 14735.7749175
Article-91 	 2013-04-01 	 14741.2950351
Article-92 	 2013-04-02 	 14746.8151527
Article-93 	 2013-04-03 	 14752.3352703
Article-94 	 2013-04-04 	 14757.855388
Article-95 	 2013-04-05 	 14763.3755056
Article-96 	 2013-04-06 	 14768.8956232
Article-97 	 2013-04-07 	 14774.4157408
Article-98 	 2013-04-08 	 14779.9358585
Article-99 	 2013-04-09 	 14785.4559761
Article-100 	 2013-04-10 	 14790.9760937
Article-101 	 2013-04-11 	 14796.4962113
Article-102 	 2013-04-12 	 14802.016329
Article-103 	 2013-04-13 	 14807.5364466
Article-104 	 2013-04-14 	 14813.0565642
Article-105 	 2013-04-15 	 14818.5766819
Article-106 	 2013-04-16 	 14824.0967995
Article-107 	 2013-04-17 	 14829.6169171
Article-108 	 2013-04-18 	 14835.1370347
Article-109 	 2013-04-19 	 14840.6571524
Article-110 	 2013-04-20 	 14846.17727
Article-111 	 2013-04-21 	 14851.6973876
Article-112 	 2013-04-22 	 14857.2175052
Article-113 	 2013-04-23 	 14862.7376229
Article-114 	 2013-04-24 	 14868.2577405
Article-115 	 2013-04-25 	 14873.7778581
Article-116 	 2013-04-26 	 14879.2979757
Article-117 	 2013-04-27 	 14884.8180934
Article-118 	 2013-04-28 	 14890.338211
Article-119 	 2013-04-29 	 14895.8583286
Article-120 	 2013-04-30 	 14901.3784462
Article-121 	 2013-05-01 	 14906.8985639
Article-122 	 2013-05-02 	 14912.4186815
Article-123 	 2013-05-03 	 14917.9387991
Article-124 	 2013-05-04 	 14923.4589167
Article-125 	 2013-05-05 	 14928.9790344
Article-126 	 2013-05-06 	 14934.499152
Article-127 	 2013-05-07 	 14940.0192696
Article-128 	 2013-05-08 	 14945.5393872
Article-129 	 2013-05-09 	 14951.0595049
Article-130 	 2013-05-10 	 14956.5796225
Article-131 	 2013-05-11 	 14962.0997401
Article-132 	 2013-05-12 	 14967.6198577
Article-133 	 2013-05-13 	 14973.1399754
Article-134 	 2013-05-14 	 14978.660093
Article-135 	 2013-05-15 	 14984.1802106
Article-136 	 2013-05-16 	 14989.7003282
Article-137 	 2013-05-17 	 14995.2204459
Article-138 	 2013-05-18 	 15000.7405635
Article-139 	 2013-05-19 	 15006.2606811
Article-140 	 2013-05-20 	 15011.7807988
Article-141 	 2013-05-21 	 15017.3009164
Article-142 	 2013-05-22 	 15022.821034
Article-143 	 2013-05-23 	 15028.3411516
Article-144 	 2013-05-24 	 15033.8612693
Article-145 	 2013-05-25 	 15039.3813869
Article-146 	 2013-05-26 	 15044.9015045
Article-147 	 2013-05-27 	 15050.4216221
Article-148 	 2013-05-28 	 15055.9417398
Article-149 	 2013-05-29 	 15061.4618574
Article-150 	 2013-05-30 	 15066.981975
Article-151 	 2013-05-31 	 15072.5020926
Article-152 	 2013-06-01 	 15078.0222103
Article-153 	 2013-06-02 	 15083.5423279
Article-154 	 2013-06-03 	 15089.0624455
Article-155 	 2013-06-04 	 15094.5825631
Article-156 	 2013-06-05 	 15100.1026808
Article-157 	 2013-06-06 	 15105.6227984
Article-158 	 2013-06-07 	 15111.142916
Article-159 	 2013-06-08 	 15116.6630336
Article-160 	 2013-06-09 	 15122.1831513
Article-161 	 2013-06-10 	 15127.7032689
Article-162 	 2013-06-11 	 15133.2233865
Article-163 	 2013-06-12 	 15138.7435041
Article-164 	 2013-06-13 	 15144.2636218
Article-165 	 2013-06-14 	 15149.7837394
Article-166 	 2013-06-15 	 15155.303857
Article-167 	 2013-06-16 	 15160.8239746
Article-168 	 2013-06-17 	 15166.3440923
Article-169 	 2013-06-18 	 15171.8642099
Article-170 	 2013-06-19 	 15177.3843275
Article-171 	 2013-06-20 	 15182.9044451
Article-172 	 2013-06-21 	 15188.4245628
Article-173 	 2013-06-22 	 15193.9446804
Article-174 	 2013-06-23 	 15199.464798
Article-175 	 2013-06-24 	 15204.9849157
Article-176 	 2013-06-25 	 15210.5050333
